Monomer_ID,SMILES,Affinity_Type,pKi
11413,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(C3CCCCC3)S(=O)(=O)c2s1 |t:7|,Ki,9.509
11414,COCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,Ki,9.658
11415,COCCN(CCOC)CC1=Cc2cc(sc2S(=O)(=O)N1CCOC)S(N)(=O)=O |t:10|,Ki,9.678
11416,COCCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:14|,Ki,9.602
11417,COCCCN1C(CNC2CC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:12|,Ki,9.585
11418,COCCCN1C(Cn2ccnc2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,Ki,9.921
11419,COc1ccc(CN2C(CN3CCOCC3)=Cc3cc(sc3S2(=O)=O)S(N)(=O)=O)cc1 |c:16|,Ki,9.959
11421,COc1cccc(c1)N1C(CNCCO)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:15|,Ki,9.959
11422,COc1ccc(cc1OC)N1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:20|,Ki,10.097
11423,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(c3ccc(cc3)N3CCOCC3)S(=O)(=O)c2s1 |t:7|,Ki,9.921
11424,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CCCO)S(=O)(=O)c2s1 |t:7|,Ki,9.699
11425,NS(=O)(=O)c1cc2C=C(CNCC#C)N(c3cccc(O)c3)S(=O)(=O)c2s1 |t:7|,Ki,9.796
11426,CN1C(CN2CCOCC2)=Cc2sc(cc2S1(=O)=O)S(N)(=O)=O |c:10|,Ki,9.678
11427,Cc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.398
11596,CC(=O)Nc1ccc(cc1F)S(N)(=O)=O,Ki,7.538
11597,CC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O,Ki,7.131
11598,CC(=O)Nc1ccc(cc1Br)S(N)(=O)=O,Ki,7.602
11599,CC(=O)Nc1ccc(cc1I)S(N)(=O)=O,Ki,7.328
11605,Nc1c(F)cc(cc1Cl)S(N)(=O)=O,Ki,7.495
11606,Nc1c(F)cc(cc1Br)S(N)(=O)=O,Ki,7.481
11607,Nc1c(F)cc(cc1I)S(N)(=O)=O,Ki,7.538
11608,Nc1c(Cl)cc(cc1Cl)S(N)(=O)=O,Ki,7.301
11609,Nc1c(Cl)cc(cc1Br)S(N)(=O)=O,Ki,7.268
11610,Nc1c(Cl)cc(cc1I)S(N)(=O)=O,Ki,7.215
11611,Nc1c(Br)cc(cc1Br)S(N)(=O)=O,Ki,7.137
11612,Nc1c(Br)cc(cc1I)S(N)(=O)=O,Ki,6.971
11613,Nc1c(I)cc(cc1I)S(N)(=O)=O,Ki,6.907
11615,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.523
11616,CC(=O)Nc1ccc(cc1F)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.0
11617,CC(=O)Nc1ccc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.0
11618,CC(=O)Nc1ccc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.824
11619,CC(=O)Nc1ccc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.77
11621,Nc1ccc(cc1F)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.097
11622,Nc1ccc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.222
11623,Nc1ccc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.155
11624,Nc1ccc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.222
11625,Nc1c(F)cc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.523
11626,Nc1c(F)cc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.699
11627,Nc1c(F)cc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.523
11628,Nc1c(Cl)cc(cc1Cl)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.301
11629,Nc1c(Cl)cc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.222
11630,Nc1c(Cl)cc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.097
11631,Nc1c(Br)cc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.301
11632,Nc1c(Br)cc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.222
11633,Nc1c(I)cc(cc1I)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,9.046
11634,Cn1nc(sc1=NC(=O)c1c(F)c(F)c(F)c(F)c1F)S(N)(=O)=O,Ki,8.824
11635,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(cc2)S(N)(=O)=O)cc1,Ki,8.301
11636,CCN(CC)CCNC(=O)c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,Ki,8.854
11637,C[C@]12CCC3C(CCc4cc(OS(N)(=O)=O)ccc34)C1CCC2=O |r|,Ki,8.0
11638,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,Ki,7.398
11639,Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F,Ki,7.678
11640,NS(=O)(=O)c1ccc(NC(=S)NNc2c(F)c(F)c(F)c(F)c2F)cc1,Ki,7.721
11641,Cc1cc(C)[n+](CCc2ccc(cc2)S(N)(=O)=O)c(C)c1,Ki,7.678
12136,NNC(=O)c1ccc(cc1)S(N)(=O)=O,Ki,6.907
12137,NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=O)Nc1ccc(Cl)c(Cl)c1,Ki,7.886
12138,CC(=O)c1ccc(NC(=O)NNC(=O)c2ccc(cc2)S(N)(=O)=O)cc1,Ki,7.824
12139,CCOC(=O)c1ccc(NC(=O)NNC(=O)c2ccc(cc2)S(N)(=O)=O)cc1,Ki,8.046
12140,NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=O)Nc1ccc(cc1)[N+]([O-])=O,Ki,8.292
12141,NS(=O)(=O)c1ccc(cc1)C(=O)NNC(=O)Nc1ccc(Br)cc1,Ki,8.137
