Monomer_ID,Internal_ID,SMILES,pKi
50531528,219,NS(=O)(=O)c1ccc(cc1)-c1nc(no1)-c1ccncc1,9.377
50566698,220,NS(=O)(=O)c1ccc(cc1)-n1cc(COc2ccnc(n2)N2CCOCC2)nn1,9.367
50531523,221,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1ccc(cc1)C#N,9.357
50012229,222,NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,9.357
50515303,223,NS(=O)(=O)c1ccc(OCCCCN(CC#C)CC#C)cc1,9.357
50572410,224,CCc1ccc(NCC(=O)NCc2ccc(cc2)S(N)(=O)=O)cc1,9.357
50508880,225,NS(=O)(=O)c1ccc(NC(=O)C(\Cc2ccc(O)cc2)=N\O)cc1,9.347
50527087,226,COc1ccc(\C=C(/C(C)=O)C(=O)Nc2ccc(cc2)S(N)(=O)=O)cc1,9.347
50093582,227,COc1ccc(cc1OC)C(C)NS(N)(=O)=O,9.343
11410,228,CC(C)N1C(CNCC#C)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:9|,9.328
50176458,229,NS(=O)(=O)c1ccc(Nc2nc(cs2)N2CCCCC2)cc1,9.328
50588956,230,NS(=O)(=O)c1cccc(N\C=C\C(=O)c2ccco2)c1,9.319
50588954,231,NS(=O)(=O)c1cccc(N\C=C\C(=O)c2ccc(cc2)[N+]([O-])=O)c1,9.319
50588953,232,COc1ccc(cc1)C(=O)\C=C\Nc1cccc(c1)S(N)(=O)=O,9.319
50588963,233,COc1ccc(cc1)C(=O)\C=C\Nc1ccc(cc1)S(N)(=O)=O,9.319
50588965,234,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccc3ccccc3c2)cc1,9.319
50588955,235,NS(=O)(=O)c1cccc(N\C=C\C(=O)c2ccc3ccccc3c2)c1,9.319
50588966,236,NS(=O)(=O)c1ccc(N\C=C\C(=O)c2ccco2)cc1,9.319
