Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
170745,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2ccccc2F)c2ccccc12 |r|,IC50,nM,111
170746,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)NCc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,35
170747,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2F)c2ccccc12 |r|,IC50,nM,10
170748,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,30
170749,NC(=O)n1cc(NC(=O)N2CC[C@@H](O)[C@H]2C(=O)NCc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,85
170750,NC(=O)n1cc(NC(=O)N2CCS[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,6
170751,NC(=O)n1cc(NC(=O)N2[C@@H](CN=[N+]=[N-])CC[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,400
170752,NC(=O)n1cc(NC(=O)N2CC3(CC3)C[C@H]2C(=O)NCc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,650
170753,NC(=O)n1cc(NC(=O)N2C[C@@](F)(CO)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,20
170754,C[C@H]1C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)NCc1cccc(Cl)c1F |r|,IC50,nM,63
170755,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)NCc2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,20
170756,COC[C@]12C[C@H]1N([C@@H](C2)C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,9
170757,NC(=O)n1cc(NC(=O)N2C3CC3C[C@H]2C(=O)Nc2ccncc2F)c2ccccc12 |r|,IC50,nM,550
170758,CO[C@@H]1CCN([C@@H]1C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,20
170761,CN(C)[C@@H]1CN([C@@H]([C@H]1F)C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,942
170762,NC(=O)n1cc(NC(=O)N2CC[C@@H](F)[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,20
170763,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,48
170765,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cncc(Cl)c2)c2ccccc12 |r|,IC50,nM,160
170766,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cncc(Br)c2)c2ccccc12 |r|,IC50,nM,93
170767,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2cccc(F)c2F)c2ccccc12 |r|,IC50,nM,14
170768,NC(=O)n1cc(NC(=O)N2C[C@@](O)(CO)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,700
170769,NC(=O)n1cc(NC(=O)N2C[C@H]3OC3[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,100
170770,COC(=O)c1cc(Br)cc(NC(=O)[C@@H]2SCCN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c1 |r|,IC50,nM,357
170772,COC(=O)[C@H]1C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)NCc1cccc(Cl)c1F |r|,IC50,nM,25
170773,NC(=O)n1cc(NC(=O)N2N=CCC2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |c:10|,IC50,nM,20
170774,NC(=O)n1cc(NC(=O)N2C[C@](O)(CO)C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,450
170775,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)N[C@H](CO)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,6
170776,CO[C@@H]1[C@@H](F)CN([C@@H]1C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,7
170777,C[C@@]1(F)C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)NCc1cccc(Cl)c1F |r|,IC50,nM,14
170778,CC(=O)N[C@@H]1[C@@H](F)CN([C@@H]1C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,187
170779,NC(=O)n1cc(NC(=O)N2C[C@@H]3C[C@@H]3[C@H]2C(=O)N[C@H](CO)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,321
170780,NC(=O)n1cc(NC(=O)N2CC[C@H](F)[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,29
170782,NC(=O)n1cc(NC(=O)N2C[C@H]3C[C@H]3[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,22
170784,NC(=O)n1cc(NC(=O)N2C[C@H]3C[C@H]3[C@H]2C(=O)N[C@H](CO)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,10
170785,NC(=O)n1cc(NC(=O)N2CC[C@@H](O)[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,12
170787,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cncc(F)c2)c2ccccc12 |r|,IC50,nM,386
170788,COc1ccc2c(NC(=O)N3C4CC4C[C@H]3C(=O)NCc3cccc(Cl)c3F)cn(C(N)=O)c2c1 |r|,IC50,nM,65
170789,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)N[C@H](CO)c2cccc(Br)c2)c2ccccc12 |r|,IC50,nM,41
170790,NC(=O)n1cc(NC(=O)N2[C@@H]3CC3C[C@H]2C(=O)Nc2cccc(c2F)C(F)(F)F)c2ccccc12 |r|,IC50,nM,24
170792,NC(=O)n1cc(NC(=O)N2CCCC[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,233
170793,CC(=O)NC[C@@]1(F)C[C@H](N(C1)C(=O)Nc1cn(C(N)=O)c2ccccc12)C(=O)NCc1cccc(Cl)c1F |r|,IC50,nM,23
170794,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2C(=O)NCc2cccc(c2F)C(F)(F)F)c2ccccc12 |r|,IC50,nM,137
170795,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)N[C@H](CCO)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,12
170796,NC(=O)n1cc(NC(=O)N2C[C@@H](F)C[C@H]2C(=O)Nc2cccc(OC(F)(F)F)c2)c2ccccc12 |r|,IC50,nM,700
170797,COc1ccc(CNC(=O)[C@@H]2SCCN2C(=O)Nc2cn(C(N)=O)c3ccccc23)c(F)c1F |r|,IC50,nM,350
170798,NC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2cccnc2)c2ccccc12 |r|,IC50,nM,417
170799,C[C@H]1CCN([C@@H]1C(=O)Nc1cccc(OC(F)(F)F)c1)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,800
