Monomer_ID,SMILES,Affinity_Type,Affinity_Value
370117,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(F)c(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.480
370118,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(CC(F)F)c(=O)n([C@H]3CCC[C@]3(C)O)c2n1 |r|,Ki,1.87
370119,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(CC(F)F)c(=O)n([C@@H]3CCC[C@@]3(C)O)c2n1 |r|,Ki,0.090
370120,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(Cl)c1=O |r|,Ki,0.160
370121,C[C@@]1(O)CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(C(F)F)c1=O |r|,Ki,0.120
370122,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,0.670
370123,CN(C)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,1.12
370124,NS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,0.190
370125,FC(F)S(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,2.50
370126,COCCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,0.460
370127,CCS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,0.480
370128,CC(C)(O)CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,1.79
370129,CS(=O)(=O)CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCC3)c2n1,Ki,1.19
370130,CS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCCCC3)c2n1,Ki,0.350
370131,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCCCC3)c2n1,Ki,0.420
370132,NS(=O)(=O)N1CCC(CC1)Nc1ncc2ccc(=O)n(C3CCCCCC3)c2n1,Ki,0.290
370133,Cc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n(C2CCCC2)c1=O,Ki,0.630
370134,CNS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n(C3CCCC3)c2n1,Ki,0.780
370135,CN(C)S(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C)c(=O)n(C3CCCC3)c2n1,Ki,1.59
370136,Cc1cc2cnc(NC3CCN(CC3)S(N)(=O)=O)nc2n(C2CCCC2)c1=O,Ki,0.220
370137,Cc1cc2cnc(NC3CCN(CC3)S(=O)(=O)C(F)F)nc2n(C2CCCC2)c1=O,Ki,3.84
370138,CN(C)S(=O)(=O)N1CCC(CC1)Nc1ncc2cc(CCO)c(=O)n(C3CCCC3)c2n1,Ki,3.85
370139,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(N)c(=O)n(C3CCCC3)c2n1,Ki,1.88
370140,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(Cl)c(=O)n(C3CCCC3)c2n1,Ki,1.40
370141,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(C(F)F)c(=O)n(C3CCCC3)c2n1,Ki,1.35
370142,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(c(=O)n(C3CCCC3)c2n1)C(F)(F)C(O)=O,Ki,2.43
370143,Cc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@@H]2CCC[C@@H](O)C2)c1=O |r|,Ki,0.840
370144,Cc1cc2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2n([C@H]2CCC[C@H](O)C2)c1=O |r|,Ki,42.6
370145,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(Cl)c(=O)n([C@@H]3CCC[C@@H](O)C3)c2n1 |r|,Ki,1.34
370146,CS(=O)(=O)N1CCC(CC1)Nc1ncc2cc(Cl)c(=O)n([C@H]3CCC[C@H](O)C3)c2n1 |r|,Ki,19.2
370147,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2ccc1=O |r|,Ki,0.090
370149,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(C)c1=O |r|,Ki,0.060
370150,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(Cl)c1=O |r|,Ki,0.270
370151,C[C@@H]1CCC[C@@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(Cl)c1=O |r|,Ki,1.28
370152,C[C@H]1CCC[C@H]1n1c2nc(NC3CCN(CC3)S(C)(=O)=O)ncc2cc(CCO)c1=O |r|,Ki,0.080
