Monomer_ID,Internal_ID,SMILES,pKi
50028268,2133,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)S(=O)(=O)NCCCCCCOS(N)(=O)=O |r|,8.0
50080672,2134,NCC(=O)Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O,8.0
50019542,2135,NS(=O)(=O)c1cc(C(=O)NNC(=O)c2ccc(Cl)cc2)c(Cl)cc1Cl,8.0
50080654,2136,Cn1nc(sc1=NC(=O)CN)S(N)(=O)=O |w:6.7|,8.0
50080661,2137,CN(CC(=O)Nc1ccc(cc1F)S(N)(=O)=O)C(N)=N,8.0
50080734,2138,NCC(=O)NCC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1cccc(c1)S(N)(=O)=O,8.0
50114118,2139,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)Nc1nnc(s1)S(N)(=O)=O,8.0
150248,2140,Cc1ncc(n1CCNS(=O)(=O)ON)[N+]([O-])=O,7.996
50345224,2141,CCCC(C(=O)Nc1ccc(cc1)S(N)(=O)=O)C(C)(C)C,7.996
50366048,2142,CC(=O)OC[C@H]1O[C@@H](NC(=S)NNC(=O)c2ccc(cc2)S(N)(=O)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1O[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O |r|,7.991
50345216,2143,CCCCC(CC)C(=O)Nc1ccc(cc1)S(N)(=O)=O,7.991
50345215,2144,CCC(C)CC(=O)Nc1ccc(cc1)S(N)(=O)=O,7.987
10888,2145,NS(=O)(=O)Cc1noc2ccccc12,7.987
50354345,2146,CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O)S(=O)(=O)Cc1nnn(c1I)-c1ccc(cc1)S(N)(=O)=O |r|,7.975
50354341,2147,NS(=O)(=O)c1ccc(cc1)-n1nnc(CS[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c1I |r|,7.971
50228324,2148,NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CC(O)=O)CC(=O)Nc2ccc(cc2)S(N)(=O)=O)CC(O)=O)cc1,7.971
50261758,2149,Cc1cc(ccc1F)-c1cn(nn1)-c1ccc(cc1)S(N)(=O)=O,7.971
50106416,2150,NS(=O)(=O)c1ccc(cc1)\N=c1/scc(-c2ccc(F)cc2F)n1C1CCCCC1,7.959
50428565,2151,NS(=O)(=O)OC[C@H]1O[C@H](OC[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O |r|,7.959
50451377,2152,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)\N=c1/sc(nn1C)S(N)(=O)=O,7.959
50504747,2153,Nc1nc(nn1-c1ccc(cc1)S(N)(=O)=O)C(=O)NNC(=S)Nc1ccc(Cl)cc1,7.959
11339,2154,CC(C)C(NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)C(=O)NO,7.959
50084531,2155,CCc1cc(cc(CC)[n+]1CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O)-c1ccccc1,7.959
